f,real,imag
0,0.019581,0
0.0078125,0.014799,-0.0036276
0.015625,-0.009028,-0.014741
0.023438,-0.0037157,-0.0090524
0.03125,-0.013078,0.025041
0.039062,0.0033255,0.026045
0.046875,0.0056568,0.042911
0.054688,0.056317,0.13881
0.0625,0.14743,0.20354
0.070312,0.24093,0.23223
0.078125,0.30182,0.25129
0.085938,0.30152,0.21663
0.09375,0.2486,0.095421
0.10156,0.20182,0.069483
0.10938,0.14188,0.078043
0.11719,0.093013,0.072569
0.125,0.074207,0.069611
0.13281,0.057389,0.064427
0.14062,0.045207,0.06361
0.14844,0.036645,0.059755
0.15625,0.036702,0.061948
0.16406,0.038695,0.06398
0.17188,0.042622,0.067084
0.17969,0.048113,0.070724
0.1875,0.059048,0.076037
0.19531,0.074176,0.082568
0.20312,0.086896,0.084439
0.21094,0.10306,0.081208
0.21875,0.12022,0.076249
0.22656,0.13279,0.065611
0.23438,0.14208,0.050568
0.24219,0.14539,0.031914
0.25,0.14558,0.010829
0.25781,0.13244,-0.0063196
0.26562,0.12263,-0.020309
0.27344,0.1035,-0.028995
0.28125,0.0871,-0.034128
0.28906,0.071391,-0.036449
0.29688,0.059894,-0.037336
0.30469,0.046365,-0.033591
0.3125,0.03817,-0.031993
0.32031,0.029775,-0.028209
0.32812,0.024112,-0.025534
0.33594,0.019359,-0.022083
0.34375,0.016442,-0.020089
0.35156,0.011483,-0.015599
0.35938,0.010036,-0.014322
0.36719,0.0080511,-0.01215
0.375,0.0082821,-0.01329
0.38281,0.0060152,-0.009517
0.39062,0.006104,-0.0088994
0.39844,0.0070679,-0.0097399
0.40625,0.006664,-0.0097358
0.41406,0.0054465,-0.0080762
0.42188,0.0045602,-0.006502
0.42969,0.0057797,-0.0074932
0.4375,0.0052833,-0.0061109
0.44531,0.005077,-0.0057703
0.45312,0.0040873,-0.0042426
0.46094,0.0037958,-0.0034534
0.46875,0.0047797,-0.0043705
0.47656,0.0032308,-0.0029848
0.48438,0.0045169,-0.0034472
0.49219,0.0044149,-0.0032419
0.5,0.0039577,-0.0022633
0.50781,0.0052762,-0.0023503
0.51562,0.0049354,-0.0021951
0.52344,0.003016,-0.0013171
0.53125,0.0038754,-0.0016257
0.53906,0.0048623,-0.002044
0.54688,0.0044372,-0.0017755
0.55469,0.0033181,-0.0012827
0.5625,0.0060108,-0.0019915
0.57031,0.0032562,-0.00098159
0.57812,0.0036077,-0.0012692
0.58594,0.0048667,-0.001748
0.59375,0.0048566,-0.0017819
0.60156,0.0021964,-0.00086808
0.60938,0.0043891,-0.0015819
0.61719,0.0017699,-0.00067378
0.625,0.0047849,-0.0018613
0.63281,0.0032183,-0.0012965
0.64062,0.0026626,-0.0010912
0.64844,0.003723,-0.0016319
0.65625,0.0027444,-0.0012193
0.66406,0.0032496,-0.0014718
0.67188,0.0017729,-0.00082698
0.67969,0.0018143,-0.00081693
0.6875,0.00074423,-0.00034311
0.69531,0.0017903,-0.0008132
0.70312,0.00088173,-0.00036478
0.71094,0.0018884,-0.00071483
0.71875,0.001614,-0.0005105
0.72656,0.0028927,-0.0007517
0.73438,0.0022139,-0.00041547
0.74219,0.001279,-0.00016274
0.75,0.0017925,-8.9522e-05
0.75781,0.0019766,6.2632e-05
0.76562,0.0017457,0.00014848
0.77344,0.0012753,0.00021915
0.78125,0.0024255,0.00053486
0.78906,0.0013291,0.00037277
0.79688,0.0010812,0.00033799
0.80469,0.00095746,0.00034073
0.8125,0.0027006,0.0011092
0.82031,0.0012886,0.00045594
0.82812,0.001524,0.00053791
0.83594,0.0016594,0.00065736
0.84375,0.00045138,0.00016842
0.85156,0.00084641,0.00031162
0.85938,0.00024469,8.2405e-05
0.86719,0.0019134,0.00059036
0.875,0.0017242,0.00040914
0.88281,0.0011611,0.00022767
0.89062,0.0010837,0.00016035
0.89844,0.0010675,0.00016091
0.90625,0.0026766,0.00039635
0.91406,0.00067388,9.4388e-05
0.92188,0.00196,3.381e-05
0.92969,0.0021801,-0.00012295
0.9375,0.00097332,-9.0966e-05
0.94531,0.002695,-0.00027517
0.95312,0.0019662,-0.00024809
0.96094,0.001338,-0.00027613
0.96875,0.00087438,-0.00018958
0.97656,0.0010462,-0.00027897
0.98438,0.00046464,-0.0001648
0.99219,0.00069917,-0.00032449
1,0.0015012,-0.00086608
1.0078,0.0020016,-0.0014022
1.0156,0.0022149,-0.0018591
1.0234,0.00099562,-0.0012303
1.0312,0.0014099,-0.0021658
1.0391,0.00065942,-0.0013525
1.0469,0.00045087,-0.0023893
1.0547,-5.5605e-05,-0.00060212
1.0625,-0.00055622,-0.0022153
1.0703,-0.00027463,-0.00073193
1.0781,-0.00042483,-0.00071622
1.0859,-0.00075573,-0.00094139
1.0938,-0.0012314,-0.0011668
1.1016,-0.001058,-0.00081993
1.1094,-0.00033027,-0.00021543
1.1172,-0.0010107,-0.00053827
1.125,-0.00033313,-0.00014054
1.1328,-0.0016349,-0.00052833
1.1406,-0.00090779,-0.00025355
1.1484,-0.0016766,-0.00043391
1.1562,-0.002877,-0.00052577
1.1641,-0.0018071,-0.0003246
1.1719,-0.002569,-0.00026918
1.1797,-0.0010311,-2.3984e-05
1.1875,-0.0011469,9.8386e-06
1.1953,-0.0027914,0.00014674
1.2031,-0.0012156,0.00014861
1.2109,-0.00096517,0.00010848
1.2188,-0.0018423,0.00026026
1.2266,-0.0015356,0.00021575
1.2344,-0.0025311,0.00037722
1.2422,-0.0017386,0.0003746
1.25,-0.00098016,0.00025626
1.2578,-0.001647,0.00044564
1.2656,-0.00080738,0.00020407
1.2734,-0.0026451,0.00082842
1.2812,-0.0011979,0.00036627
1.2891,-0.0013697,0.00042072
1.2969,-0.0022263,0.00078658
1.3047,-0.0010022,0.000327
1.3125,-0.0024221,0.00084773
1.3203,-0.0020036,0.00077499
1.3281,-0.0015107,0.0006023
1.3359,-0.0015765,0.00059475
1.3438,-0.00033189,0.00014237
1.3516,-0.0022371,0.0009859
1.3594,-0.0015568,0.00058932
1.3672,-0.001579,0.00055458
1.375,-0.0014522,0.00055249
1.3828,-0.0011696,0.00047676
1.3906,-0.00028101,8.5557e-05
1.3984,-0.002104,0.00067091
1.4062,-0.0025645,0.00068781
1.4141,-0.00087452,0.00011622
1.4219,-0.00040168,3.6227e-05
1.4297,-0.0012447,0.00014622
1.4375,-0.00090689,-3.4142e-05
1.4453,-0.00028317,-4.1977e-05
1.4531,-0.00043106,-9.843e-05
1.4609,-0.00146,-0.00049897
1.4688,-0.0014481,-0.00065331
1.4766,-0.0020412,-0.00094751
1.4844,-0.00065335,-0.00029694
1.4922,-0.0015214,-0.00074471
1.5,-0.0012849,-0.00081655
1.5078,-0.0012525,-0.00090003
1.5156,-0.0013048,-0.0010848
1.5234,-0.00086175,-0.00068754
1.5312,-0.0014279,-0.0012653
1.5391,-0.00050031,-0.00051138
1.5469,-0.00060047,-0.00065182
1.5547,-0.0032244,-0.0037881
1.5625,-0.0010338,-0.001156
1.5703,-0.00065293,-0.00068755
1.5781,-0.0010177,-0.0010953
1.5859,-0.00053652,-0.0006175
1.5938,-0.00047657,-0.00054446
1.6016,-0.00049796,-0.00058107
1.6094,-0.001589,-0.0017972
1.6172,-0.0010371,-0.0010658
1.625,-0.0018744,-0.0019498
1.6328,-0.001535,-0.0016748
1.6406,-0.00044227,-0.00046314
1.6484,-0.0021653,-0.00221
1.6562,-0.0016696,-0.0015546
1.6641,-0.0011547,-0.0010336
1.6719,-0.00089665,-0.00083882
1.6797,-0.00072248,-0.00068044
1.6875,-0.00096253,-0.00094494
1.6953,-0.0025115,-0.002274
1.7031,-0.00077761,-0.00067502
1.7109,-0.002579,-0.0022324
1.7188,-0.0015654,-0.001295
1.7266,-0.0032767,-0.0029107
1.7344,-0.0020296,-0.0018152
1.7422,-0.0021706,-0.0018817
1.75,-0.00072181,-0.00060017
1.7578,-0.0017327,-0.0013197
1.7656,-0.001913,-0.0014578
1.7734,-0.0014578,-0.0011361
1.7812,-0.0012798,-0.00099484
1.7891,-0.001141,-0.00085503
1.7969,-0.00063678,-0.00046985
1.8047,-0.0013195,-0.00089936
1.8125,-0.0011318,-0.00073996
1.8203,-0.0036663,-0.0023649
1.8281,-0.0019808,-0.0014263
1.8359,-0.0013994,-0.0010175
1.8438,-0.0011651,-0.00076862
1.8516,-0.0034398,-0.0020005
1.8594,-0.0038076,-0.0018187
1.8672,-0.0016562,-0.00085435
1.875,-0.002142,-0.001317
1.8828,-0.0029,-0.0016336
1.8906,-0.0018265,-0.00082615
1.8984,-0.0028558,-0.0013375
1.9062,-0.0044617,-0.0022038
1.9141,-0.0047956,-0.0024551
1.9219,-0.0026545,-0.0014245
1.9297,-0.0048496,-0.0022588
1.9375,-0.0019063,-0.00086154
1.9453,-0.0032923,-0.0015744
1.9531,-0.0047388,-0.0023819
1.9609,-0.0028906,-0.0013193
1.9688,-0.0034272,-0.0013485
1.9766,-0.0026983,-0.0010306
1.9844,-0.0026354,-0.0012225
1.9922,-0.0046316,-0.0021705
2,-0.0030889,-0.0013171
2.0078,-0.0059979,-0.002454
2.0156,-0.0042501,-0.0016464
2.0234,-0.0053236,-0.0020616
2.0312,-0.0041015,-0.0016613
2.0391,-0.0038124,-0.0014333
2.0469,-0.0021319,-0.00068608
2.0547,-0.004964,-0.0012762
2.0625,-0.0027796,-0.00064392
2.0703,-0.005655,-0.0012101
2.0781,-0.0058162,-0.0010235
2.0859,-0.0047437,-0.0012892
2.0938,-0.006122,-0.001335
2.1016,-0.0046164,-0.00082384
2.1094,-0.0074244,-0.0011702
2.1172,-0.0051442,-0.00059947
2.125,-0.0066731,-0.00071839
2.1328,-0.0056297,-0.00031761
2.1406,-0.0047293,-0.00033841
2.1484,-0.0040366,-0.00024808
2.1562,-0.0032777,3.6765e-05
2.1641,-0.0047827,-3.2959e-05
2.1719,-0.0040049,-0.00018098
2.1797,-0.00633,-0.00040313
2.1875,-0.0041164,-7.4734e-05
2.1953,-0.0046043,-3.7187e-05
2.2031,-0.0055706,0.00029103
2.2109,-0.0059698,0.00021941
2.2188,-0.0050751,0.00058507
2.2266,-0.0039378,0.00030046
2.2344,-0.0041664,0.00023148
2.2422,-0.0069506,0.0006841
2.25,-0.0049322,0.00044099
2.2578,-0.0065331,0.00075372
2.2656,-0.0058984,0.00015389
2.2734,-0.0053222,-0.00015577
2.2812,-0.0025594,-0.00017045
2.2891,-0.0073936,-0.00051967
2.2969,-0.005807,-0.00023847
2.3047,-0.0042201,-4.9891e-05
2.3125,-0.0060141,0.00020148
2.3203,-0.0047236,-2.7679e-05
2.3281,-0.0070581,-0.00022555
2.3359,-0.0073492,0.00016922
2.3438,-0.0060504,0.0005024
2.3516,-0.0079183,0.0007208
2.3594,-0.004265,0.00062053
2.3672,-0.0045544,0.00093096
2.375,-0.0059803,0.0011734
2.3828,-0.0040793,0.0012066
2.3906,-0.003827,0.0012868
2.3984,-0.0054803,0.0020076
2.4062,-0.005527,0.0029089
2.4141,-0.0039681,0.0020963
2.4219,-0.0038363,0.0016099
2.4297,-0.0024158,0.0009463
2.4375,-0.0049979,0.0019923
2.4453,-0.0034568,0.0014703
2.4531,-0.0065206,0.0021828
2.4609,-0.0053525,0.001372
2.4688,-0.0079401,0.0015387
2.4766,-0.0076442,0.0016414
2.4844,-0.0068449,0.0019672
2.4922,-0.0037463,0.0013551
2.5,-0.004726,0.0018567
2.5078,-0.0069693,0.0031335
2.5156,-0.0064325,0.0027045
2.5234,-0.0032593,0.0018035
2.5312,-0.0044877,0.0027755
2.5391,-0.0032645,0.0021797
2.5469,-0.0043018,0.0035623
2.5547,-0.0031987,0.0027266
2.5625,-0.0031113,0.002504
2.5703,-0.0029595,0.0023276
2.5781,-0.0024026,0.002142
2.5859,-0.0012229,0.0012322
2.5938,-0.0009599,0.0013134
2.6016,-0.0014097,0.0018289
2.6094,-0.0020926,0.0023785
2.6172,-0.0014324,0.001608
2.625,-0.0027701,0.0038818
2.6328,-0.00035407,0.0008777
2.6406,-0.0015522,0.0033391
2.6484,-0.0012495,0.0023531
2.6562,-0.00071694,0.0011075
2.6641,-0.0015987,0.0027519
2.6719,-0.00048561,0.00087314
2.6797,-0.0013782,0.0023952
2.6875,-0.00032306,0.00069568
2.6953,-0.00040469,0.0015876
2.7031,-0.00034634,0.0020564
2.7109,0.00013036,0.0021139
2.7188,0.00023677,0.00081996
2.7266,0.00089859,0.0018556
2.7344,0.0015613,0.0016684
2.7422,0.0013156,0.0008465
2.75,0.0019403,0.00079593
2.7578,0.0035647,0.0012818
2.7656,0.0021537,8.0122e-05
2.7734,0.0020277,-0.0004525
2.7812,0.0011155,-0.00064352
2.7891,0.00040613,-0.00039466
2.7969,0.0010007,-0.0015983
2.8047,0.00016893,-0.00064473
2.8125,0.00031642,-0.0030542
2.8203,-0.00010168,-0.0015527
2.8281,-0.00034751,-0.0013571
2.8359,-0.00052517,-0.0016721
2.8438,-0.00084048,-0.0021979
2.8516,-0.00025311,-0.00050036
2.8594,-0.00090922,-0.0017747
2.8672,-0.0013045,-0.0023
2.875,-0.0011912,-0.0017542
2.8828,-0.0013617,-0.0015129
2.8906,-0.0011148,-0.0011366
2.8984,-0.0030534,-0.0027991
2.9062,-0.0042652,-0.0034769
2.9141,-0.0030124,-0.0023535
2.9219,-0.0026393,-0.0018276
2.9297,-0.0024337,-0.0014885
2.9375,-0.0046611,-0.002719
2.9453,-0.0025328,-0.0013579
2.9531,-0.0037883,-0.0018132
2.9609,-0.0029623,-0.0014106
2.9688,-0.0029274,-0.0012036
2.9766,-0.00409,-0.0015954
2.9844,-0.0042583,-0.0015432
2.9922,-0.0043828,-0.0014345
3,-0.0059676,-0.0018586
3.0078,-0.005723,-0.0015806
3.0156,-0.0063096,-0.0015993
3.0234,-0.0060843,-0.0014783
3.0312,-0.0032325,-0.00069525
3.0391,-0.0066486,-0.0012473
3.0469,-0.0073931,-0.0010538
3.0547,-0.0040849,-0.00050015
3.0625,-0.0081391,-0.00098088
3.0703,-0.0066051,-0.00074609
3.0781,-0.0074898,-0.0008521
3.0859,-0.0062107,-0.00094708
3.0938,-0.0068931,-0.00088994
3.1016,-0.0072428,-0.00093112
3.1094,-0.0084053,-0.0012881
3.1172,-0.0066783,-0.00076962
3.125,-0.0061917,-0.00053971
3.1328,-0.0038226,-0.0002232
3.1406,-0.0052598,-3.8611e-05
3.1484,-0.0050885,0.00064308
3.1562,-0.005258,0.0011489
3.1641,-0.0077531,0.0017292
3.1719,-0.0056677,0.00095339
3.1797,-0.0066684,0.0011149
3.1875,-0.0057157,0.0010305
3.1953,-0.0033476,0.00030003
3.2031,-0.0051023,0.0010998
3.2109,-0.003523,0.0016832
3.2188,-0.0048253,0.0021221
3.2266,-0.0042538,0.0016146
3.2344,-0.0052156,0.0022429
3.2422,-0.0040981,0.0018805
3.25,-0.0047805,0.0025153
3.2578,-0.0062491,0.0025482
3.2656,-0.0061554,0.0014952
3.2734,-0.0051057,0.0010872
3.2812,-0.0063164,0.0013447
3.2891,-0.0056795,0.0013759
3.2969,-0.0042116,0.0012151
3.3047,-0.0046376,0.0011056
3.3125,-0.006804,0.0017201
3.3203,-0.0060114,0.0013653
3.3281,-0.0056459,0.0010467
3.3359,-0.0054264,0.00085116
3.3438,-0.0063339,0.0013242
3.3516,-0.0029011,0.00072538
3.3594,-0.0065002,0.0015337
3.3672,-0.0061337,0.0011578
3.375,-0.0067794,0.0016312
3.3828,-0.0051539,0.0014832
3.3906,-0.0034464,0.0013924
3.3984,-0.0060057,0.002545
3.4062,-0.0050088,0.0020035
3.4141,-0.0052285,0.0022239
3.4219,-0.003873,0.0019299
3.4297,-0.005178,0.0030755
3.4375,-0.0031467,0.0021499
3.4453,-0.0039189,0.0023878
3.4531,-0.003209,0.002131
3.4609,-0.0037438,0.0024978
3.4688,-0.0034198,0.0021332
3.4766,-0.0038213,0.0021386
3.4844,-0.0035273,0.0021329
3.4922,-0.0048747,0.0027248
3.5,-0.0041553,0.0018464
3.5078,-0.0037711,0.0015519
3.5156,-0.0046067,0.0018141
3.5234,-0.0038552,0.001747
3.5312,-0.0066921,0.0036136
3.5391,-0.0057815,0.0028525
3.5469,-0.0047941,0.0022646
3.5547,-0.0066131,0.0031169
3.5625,-0.0056907,0.0027319
3.5703,-0.0046962,0.0021479
3.5781,-0.0061289,0.0028414
3.5859,-0.0066387,0.0028659
3.5938,-0.0073597,0.0032448
3.6016,-0.005791,0.0029973
3.6094,-0.004032,0.0021693
3.6172,-0.0051164,0.0025763
3.625,-0.0089956,0.0046985
3.6328,-0.0080968,0.0042873
3.6406,-0.0062463,0.0031255
3.6484,-0.0060431,0.002806
3.6562,-0.0074446,0.003491
3.6641,-0.0082986,0.0040281
3.6719,-0.0073251,0.00338
3.6797,-0.0083475,0.0036682
3.6875,-0.0089701,0.0039173
3.6953,-0.0088319,0.003847
3.7031,-0.0083966,0.0036279
3.7109,-0.0073232,0.0035156
3.7188,-0.0088412,0.0045272
3.7266,-0.0065939,0.0036936
3.7344,-0.0061045,0.0034227
3.7422,-0.0080039,0.0045714
3.75,-0.0037719,0.0022013
3.7578,-0.0054254,0.0031666
3.7656,-0.0061234,0.0034338
3.7734,-0.0044057,0.0026786
3.7812,-0.0057169,0.0035892
3.7891,-0.0070062,0.0046258
3.7969,-0.0057011,0.0037797
3.8047,-0.0041281,0.0029176
3.8125,-0.0047901,0.0033321
3.8203,-0.0047498,0.0033464
3.8281,-0.0046266,0.0031796
3.8359,-0.004628,0.0030984
3.8438,-0.0041511,0.0027759
3.8516,-0.0039245,0.0024145
3.8594,-0.0050727,0.0034141
3.8672,-0.003091,0.0022164
3.875,-0.0045904,0.0032191
3.8828,-0.0028115,0.0019751
3.8906,-0.0044089,0.0032248
3.8984,-0.0028589,0.0022903
3.9062,-0.0058993,0.0045132
3.9141,-0.0033392,0.0026695
3.9219,-0.0022397,0.0019795
3.9297,-0.0026931,0.0025546
3.9375,-0.0029582,0.0028166
3.9453,-0.0032216,0.0031659
3.9531,-0.00301,0.0028905
3.9609,-0.0037111,0.0032582
3.9688,-0.0038641,0.0038553
3.9766,-0.0037468,0.0033629
3.9844,-0.005113,0.0042375
3.9922,-0.0028005,0.002794
4,-0.0029036,0.0026166
4.0078,-0.0028596,0.0026472
4.0156,-0.0029831,0.0030973
4.0234,-0.002181,0.0021658
4.0312,-0.0020477,0.0018752
4.0391,-0.0027138,0.0029093
4.0469,-0.0019893,0.0019282
4.0547,-0.0030207,0.0024231
4.0625,-0.0026356,0.0025175
4.0703,-0.0028279,0.0028943
4.0781,-0.002317,0.0027809
4.0859,-0.0022545,0.0026505
4.0938,-0.0022292,0.0025663
